metric,rho,tau,wins,full,w_scenetwin,extra
blend_all4_with_vlm_best_dims_mean_63,0.9504861393193565,0.8701860553716757,54/54,17/18,0.63,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_69,0.9502046158413644,0.8743369340818864,54/54,17/18,0.69,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_70,0.9502046158413644,0.8743369340818864,54/54,17/18,0.70,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_71,0.9502046158413644,0.8743369340818864,54/54,17/18,0.71,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_24,0.9499880965519494,0.8707423177484063,53/54,16/18,0.24,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_26,0.9499880965519494,0.8707423177484063,53/54,16/18,0.26,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_27,0.9499880965519494,0.8707423177484063,53/54,16/18,0.27,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_28,0.9499880965519494,0.8707423177484063,53/54,16/18,0.28,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_30,0.9499880965519494,0.8707423177484063,53/54,16/18,0.30,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_41,0.9499880965519494,0.8707423177484063,53/54,16/18,0.41,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_64,0.9498818887539914,0.8692453136901928,54/54,17/18,0.64,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_72,0.9495993899714016,0.8733906819887243,54/54,17/18,0.72,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_74,0.9493912048761874,0.8718742750594775,54/54,18/18,0.74,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_75,0.9493912048761874,0.8718742750594775,54/54,18/18,0.75,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_76,0.9493912048761874,0.8718742750594775,54/54,18/18,0.76,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_23,0.9493833937533804,0.8697989349556128,53/54,16/18,0.23,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_25,0.9493833937533804,0.8697989349556128,53/54,16/18,0.25,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_29,0.9493833937533804,0.8697989349556128,53/54,16/18,0.29,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_39,0.9493833937533804,0.8697989349556128,53/54,16/18,0.39,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_40,0.9493833937533804,0.8697989349556128,53/54,16/18,0.40,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_43,0.9493833937533804,0.8697989349556128,53/54,16/18,0.43,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_68,0.9492776381886262,0.8692453136901928,54/54,17/18,0.68,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_69,0.9492776381886262,0.8692453136901928,54/54,17/18,0.69,vlm_best_dims_mean
blend_all4_with_gpt_vlm_completeness_norm_22,0.9487786909548114,0.8688555521628193,53/54,16/18,0.22,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_31,0.9487786909548114,0.8688555521628193,53/54,16/18,0.31,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_38,0.9487786909548114,0.8688555521628193,53/54,16/18,0.38,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_46,0.9487786909548114,0.8688555521628193,54/54,17/18,0.46,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_65,0.9486733876232611,0.8683045720087099,54/54,17/18,0.65,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_66,0.9486733876232611,0.8683045720087099,54/54,17/18,0.66,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_67,0.9486733876232611,0.8683045720087099,54/54,17/18,0.67,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_73,0.9483889382314762,0.8714981778023999,54/54,17/18,0.73,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_77,0.9481817893285743,0.8699871013039375,54/54,18/18,0.77,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_20,0.9481739881562423,0.8679121693700258,53/54,16/18,0.20,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_21,0.9481739881562423,0.8679121693700258,53/54,16/18,0.21,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_33,0.9481739881562423,0.8679121693700258,53/54,16/18,0.33,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_34,0.9481739881562423,0.8679121693700258,53/54,16/18,0.34,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_35,0.9481739881562423,0.8679121693700258,53/54,16/18,0.35,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_36,0.9481739881562423,0.8679121693700258,53/54,16/18,0.36,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_37,0.9481739881562423,0.8679121693700258,53/54,16/18,0.37,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_44,0.9481739881562423,0.8679121693700258,53/54,16/18,0.44,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_45,0.9481739881562423,0.8679121693700258,53/54,16/18,0.45,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_47,0.9481739881562423,0.8679121693700258,54/54,17/18,0.47,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_48,0.9481739881562423,0.8679121693700258,54/54,17/18,0.48,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_49,0.9481739881562423,0.8679121693700258,54/54,17/18,0.49,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_50,0.9481739881562423,0.8679121693700258,54/54,17/18,0.50,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_56,0.9481739881562423,0.8679121693700258,54/54,17/18,0.56,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_70,0.948069137057896,0.867363830327227,54/54,17/18,0.70,vlm_best_dims_mean
blend_all4_with_gpt_vlm_completeness_norm_32,0.9475692853576733,0.8669687865772322,53/54,16/18,0.32,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_57,0.9475692853576733,0.8669687865772322,54/54,17/18,0.57,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_44,0.9474648864925309,0.867363830327227,54/54,17/18,0.44,vlm_overall_mean
blend_all4_with_vlm_overall_mean_37,0.9474648864925309,0.8664230886457442,54/54,17/18,0.37,vlm_overall_mean
blend_all4_with_gpt_vlm_completeness_norm_18,0.9469645825591042,0.8660254037844388,53/54,16/18,0.18,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_19,0.9469645825591042,0.8660254037844388,53/54,16/18,0.19,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_51,0.9469645825591042,0.8660254037844388,54/54,17/18,0.51,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_52,0.9469645825591042,0.8660254037844388,54/54,17/18,0.52,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_53,0.9469645825591042,0.8660254037844388,54/54,17/18,0.53,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_54,0.9469645825591042,0.8660254037844388,54/54,17/18,0.54,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_55,0.9469645825591042,0.8660254037844388,54/54,17/18,0.55,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_55,0.9468606359271657,0.867363830327227,54/54,17/18,0.55,vlm_overall_mean
blend_all4_with_vlm_overall_mean_56,0.9468606359271657,0.867363830327227,54/54,17/18,0.56,vlm_overall_mean
blend_all4_with_vlm_overall_mean_57,0.9468606359271657,0.867363830327227,54/54,17/18,0.57,vlm_overall_mean
blend_all4_with_vlm_overall_mean_58,0.9468606359271657,0.867363830327227,54/54,17/18,0.58,vlm_overall_mean
blend_all4_with_vlm_overall_mean_59,0.9468606359271657,0.867363830327227,54/54,17/18,0.59,vlm_overall_mean
blend_all4_with_vlm_overall_mean_42,0.9468606359271657,0.8664230886457442,54/54,17/18,0.42,vlm_overall_mean
blend_all4_with_vlm_overall_mean_43,0.9468606359271657,0.8664230886457442,54/54,17/18,0.43,vlm_overall_mean
blend_all4_with_vlm_overall_mean_45,0.9468606359271657,0.8664230886457442,54/54,17/18,0.45,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_71,0.9468606359271657,0.8664230886457442,54/54,17/18,0.71,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_74,0.9465732606215884,0.8696056736160754,54/54,17/18,0.74,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_75,0.9465732606215884,0.8696056736160754,54/54,17/18,0.75,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_58,0.9463598797605354,0.8660254037844388,54/54,17/18,0.58,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_17,0.9463598797605354,0.8650820209916452,53/54,16/18,0.17,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_60,0.9462563853618006,0.8664230886457442,54/54,17/18,0.60,vlm_overall_mean
blend_all4_with_vlm_overall_mean_41,0.9462563853618006,0.8654823469642613,54/54,17/18,0.41,vlm_overall_mean
blend_all4_with_vlm_overall_mean_46,0.9462563853618006,0.8654823469642613,54/54,17/18,0.46,vlm_overall_mean
blend_all4_with_vlm_overall_mean_47,0.9462563853618006,0.8654823469642613,54/54,17/18,0.47,vlm_overall_mean
blend_all4_with_vlm_overall_mean_35,0.9462563853618006,0.8645416052827783,53/54,16/18,0.35,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_78,0.9457629582333484,0.8671563406706274,54/54,17/18,0.78,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_59,0.9457551769619662,0.8650820209916452,54/54,17/18,0.59,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_60,0.9457551769619662,0.8650820209916452,54/54,17/18,0.60,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_61,0.9457551769619662,0.8650820209916452,54/54,17/18,0.61,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_62,0.9457551769619662,0.8650820209916452,54/54,17/18,0.62,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_63,0.9457551769619662,0.8650820209916452,54/54,17/18,0.63,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_11,0.9457551769619662,0.8641386381988516,53/54,16/18,0.11,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_14,0.9457551769619662,0.8641386381988516,53/54,16/18,0.14,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_16,0.9457551769619662,0.8641386381988516,53/54,16/18,0.16,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_52,0.9456521347964355,0.8654823469642613,54/54,17/18,0.52,vlm_overall_mean
blend_all4_with_vlm_overall_mean_53,0.9456521347964355,0.8654823469642613,54/54,17/18,0.53,vlm_overall_mean
blend_all4_with_vlm_overall_mean_54,0.9456521347964355,0.8654823469642613,54/54,17/18,0.54,vlm_overall_mean
blend_all4_with_vlm_overall_mean_38,0.9456521347964355,0.8645416052827783,54/54,17/18,0.38,vlm_overall_mean
blend_all4_with_vlm_overall_mean_39,0.9456521347964355,0.8645416052827783,54/54,17/18,0.39,vlm_overall_mean
blend_all4_with_vlm_overall_mean_40,0.9456521347964355,0.8645416052827783,54/54,17/18,0.40,vlm_overall_mean
blend_all4_with_vlm_overall_mean_48,0.9456521347964355,0.8645416052827783,54/54,17/18,0.48,vlm_overall_mean
blend_all4_with_vlm_overall_mean_49,0.9456521347964355,0.8645416052827783,54/54,17/18,0.49,vlm_overall_mean
blend_all4_with_vlm_overall_mean_33,0.9456521347964355,0.8636008636012955,53/54,16/18,0.33,vlm_overall_mean
blend_all4_with_vlm_overall_mean_34,0.9456521347964355,0.8636008636012955,53/54,16/18,0.34,vlm_overall_mean
blend_all4_with_vlm_overall_mean_36,0.9456521347964355,0.8636008636012955,54/54,17/18,0.36,vlm_overall_mean
blend_all4_with_vlm_overall_mean_05,0.9456521347964355,0.8626601219198126,53/54,14/18,0.05,vlm_overall_mean
blend_all4_with_vlm_overall_mean_06,0.9456521347964355,0.8626601219198126,53/54,14/18,0.06,vlm_overall_mean
blend_all4_with_vlm_overall_mean_07,0.9456521347964355,0.8626601219198126,53/54,14/18,0.07,vlm_overall_mean
blend_all4_with_vlm_overall_mean_08,0.9456521347964355,0.8626601219198126,53/54,14/18,0.08,vlm_overall_mean
blend_all4_with_vlm_overall_mean_12,0.9456521347964355,0.8626601219198126,53/54,14/18,0.12,vlm_overall_mean
blend_all4_with_gpt_vlm_completeness_norm_64,0.9454606043464453,0.8647973734762024,54/54,17/18,0.64,gpt_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_76,0.945362808881663,0.867713169429751,54/54,17/18,0.76,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_77,0.945362808881663,0.867713169429751,54/54,17/18,0.77,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_78,0.945362808881663,0.867713169429751,54/54,17/18,0.78,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_12,0.9451504741633971,0.8631952554060582,53/54,16/18,0.12,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_15,0.9451504741633971,0.8631952554060582,53/54,16/18,0.15,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_32,0.9450556480574507,0.8628457000916743,53/54,16/18,0.32,vlm_overall_mean
blend_all4_with_vlm_overall_mean_51,0.9450478842310703,0.8645416052827783,54/54,17/18,0.51,vlm_overall_mean
blend_all4_with_vlm_overall_mean_61,0.9450478842310703,0.8645416052827783,54/54,17/18,0.61,vlm_overall_mean
blend_all4_with_vlm_overall_mean_25,0.9450478842310703,0.8626601219198126,53/54,16/18,0.25,vlm_overall_mean
blend_all4_with_vlm_overall_mean_26,0.9450478842310703,0.8626601219198126,53/54,16/18,0.26,vlm_overall_mean
blend_all4_with_vlm_overall_mean_31,0.9450478842310703,0.8626601219198126,53/54,16/18,0.31,vlm_overall_mean
blend_all4_with_vlm_overall_mean_04,0.9450478842310703,0.8617193802383296,53/54,14/18,0.04,vlm_overall_mean
blend_all4_with_vlm_overall_mean_09,0.9450478842310703,0.8617193802383296,53/54,14/18,0.09,vlm_overall_mean
blend_all4_with_vlm_overall_mean_10,0.9450478842310703,0.8617193802383296,53/54,14/18,0.10,vlm_overall_mean
blend_all4_with_vlm_overall_mean_11,0.9450478842310703,0.8617193802383296,53/54,14/18,0.11,vlm_overall_mean
blend_all4_with_vlm_overall_mean_13,0.9450478842310703,0.8617193802383296,53/54,14/18,0.13,vlm_overall_mean
blend_all4_with_vlm_overall_mean_17,0.9450478842310703,0.8617193802383296,53/54,14/18,0.17,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_79,0.9445535426857354,0.8652691669150875,54/54,17/18,0.79,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_80,0.9445535426857354,0.8652691669150875,54/54,17/18,0.80,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_81,0.9445535426857354,0.8652691669150875,54/54,17/18,0.81,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_82,0.9445535426857354,0.8652691669150875,54/54,17/18,0.82,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_66,0.9445457713648281,0.8641386381988516,54/54,18/18,0.66,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_01,0.9445457713648281,0.8622518726132646,53/54,16/18,0.01,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_02,0.9445457713648281,0.8622518726132646,53/54,16/18,0.02,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_03,0.9445457713648281,0.8622518726132646,53/54,16/18,0.03,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_04,0.9445457713648281,0.8622518726132646,53/54,16/18,0.04,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_05,0.9445457713648281,0.8622518726132646,53/54,16/18,0.05,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_06,0.9445457713648281,0.8622518726132646,53/54,16/18,0.06,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_08,0.9445457713648281,0.8622518726132646,53/54,16/18,0.08,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_09,0.9445457713648281,0.8622518726132646,53/54,16/18,0.09,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_10,0.9445457713648281,0.8622518726132646,53/54,16/18,0.10,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_13,0.9445457713648281,0.8622518726132646,53/54,16/18,0.13,gpt_vlm_completeness_norm
selected3_mean,0.9444894909535001,0.8650524137967655,53/54,16/18,,
blend_all4_with_vlm_overall_mean_50,0.9444436336657052,0.8636008636012955,54/54,17/18,0.50,vlm_overall_mean
blend_all4_with_vlm_overall_mean_62,0.9444436336657052,0.8636008636012955,54/54,17/18,0.62,vlm_overall_mean
blend_all4_with_vlm_overall_mean_63,0.9444436336657052,0.8636008636012955,54/54,17/18,0.63,vlm_overall_mean
blend_all4_with_vlm_overall_mean_64,0.9444436336657052,0.8636008636012955,54/54,17/18,0.64,vlm_overall_mean
blend_all4_with_vlm_overall_mean_65,0.9444436336657052,0.8636008636012955,54/54,17/18,0.65,vlm_overall_mean
blend_all4_with_vlm_overall_mean_22,0.9444436336657052,0.8617193802383296,53/54,16/18,0.22,vlm_overall_mean
blend_all4_with_vlm_overall_mean_23,0.9444436336657052,0.8617193802383296,53/54,16/18,0.23,vlm_overall_mean
blend_all4_with_vlm_overall_mean_24,0.9444436336657052,0.8617193802383296,53/54,16/18,0.24,vlm_overall_mean
blend_all4_with_vlm_overall_mean_28,0.9444436336657052,0.8617193802383296,53/54,16/18,0.28,vlm_overall_mean
blend_all4_with_vlm_overall_mean_29,0.9444436336657052,0.8617193802383296,53/54,16/18,0.29,vlm_overall_mean
blend_all4_with_vlm_overall_mean_30,0.9444436336657052,0.8617193802383296,53/54,16/18,0.30,vlm_overall_mean
blend_all4_with_vlm_overall_mean_14,0.9444436336657052,0.8607786385568468,53/54,14/18,0.14,vlm_overall_mean
blend_all4_with_vlm_overall_mean_15,0.9444436336657052,0.8607786385568468,53/54,14/18,0.15,vlm_overall_mean
blend_all4_with_vlm_overall_mean_16,0.9444436336657052,0.8607786385568468,53/54,14/18,0.16,vlm_overall_mean
blend_all4_with_claude_vlm_completeness_norm_79,0.9441523571417378,0.8658206652434266,54/54,17/18,0.79,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_80,0.9441523571417378,0.8658206652434266,54/54,17/18,0.80,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_81,0.9441523571417378,0.8658206652434266,54/54,17/18,0.81,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_83,0.943948834911929,0.8643255800373174,54/54,17/18,0.83,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_65,0.943941068566259,0.8631952554060582,54/54,17/18,0.65,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_67,0.943941068566259,0.8631952554060582,54/54,18/18,0.67,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_07,0.943941068566259,0.8613084898204713,53/54,16/18,0.07,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_66,0.9438393831003401,0.8626601219198126,54/54,17/18,0.66,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_72,0.9438393831003401,0.8626601219198126,54/54,17/18,0.72,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_73,0.9438393831003401,0.8626601219198126,54/54,17/18,0.73,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_75,0.9438393831003401,0.8626601219198126,54/54,17/18,0.75,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_76,0.9438393831003401,0.8626601219198126,54/54,17/18,0.76,vlm_best_dims_mean
blend_all4_with_vlm_overall_mean_18,0.9438393831003401,0.8607786385568468,53/54,15/18,0.18,vlm_overall_mean
blend_all4_with_vlm_overall_mean_19,0.9438393831003401,0.8607786385568468,53/54,15/18,0.19,vlm_overall_mean
blend_all4_with_vlm_overall_mean_21,0.9438393831003401,0.8607786385568468,53/54,16/18,0.21,vlm_overall_mean
blend_all4_with_vlm_overall_mean_27,0.9438393831003401,0.8607786385568468,53/54,16/18,0.27,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_84,0.9433441271381225,0.8633819931595476,54/54,17/18,0.84,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_68,0.9433363657676902,0.8622518726132646,54/54,18/18,0.68,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_67,0.9432351325349747,0.8617193802383296,54/54,17/18,0.67,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_74,0.9432351325349747,0.8617193802383296,54/54,17/18,0.74,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_77,0.9432351325349747,0.8617193802383296,54/54,17/18,0.77,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_78,0.9432351325349747,0.8617193802383296,54/54,17/18,0.78,vlm_best_dims_mean
blend_all4_with_vlm_overall_mean_20,0.9432351325349747,0.8598378968753638,53/54,15/18,0.20,vlm_overall_mean
gpt_vlm_completeness_norm,0.9432271331514239,0.8707910352243109,53/54,16/18,,
blend_all4_with_gpt_vlm_completeness_norm_00,0.9432271331514239,0.8707910352243109,53/54,16/18,0.00,gpt_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_85,0.942739419364316,0.8624384062817775,54/54,17/18,0.85,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_79,0.9426308819696098,0.8607786385568468,54/54,17/18,0.79,vlm_best_dims_mean
blend_all4_with_vlm_overall_mean_02,0.9426308819696098,0.858897155193881,53/54,14/18,0.02,vlm_overall_mean
blend_all4_with_vlm_overall_mean_03,0.9426308819696098,0.858897155193881,53/54,14/18,0.03,vlm_overall_mean
blend_all4_with_claude_vlm_completeness_norm_82,0.9423366795318497,0.8629819089639399,54/54,17/18,0.82,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_83,0.9423366795318497,0.8629819089639399,54/54,17/18,0.83,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_84,0.9423366795318497,0.8629819089639399,54/54,17/18,0.84,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_80,0.9420266314042447,0.8598378968753638,54/54,17/18,0.80,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_85,0.9417314536618872,0.8620356568707777,54/54,17/18,0.85,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_86,0.9417314536618872,0.8620356568707777,54/54,17/18,0.86,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_86,0.9415300038167032,0.8605512325262376,54/54,17/18,0.86,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_69,0.9415222573719829,0.8603651070276777,54/54,18/18,0.69,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_73,0.9415222573719829,0.8603651070276777,54/54,18/18,0.73,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_74,0.9415222573719829,0.8603651070276777,54/54,18/18,0.74,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_75,0.9415222573719829,0.8603651070276777,54/54,18/18,0.75,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_68,0.9414223808388795,0.858897155193881,54/54,17/18,0.68,vlm_overall_mean
blend_all4_with_vlm_overall_mean_69,0.9414223808388795,0.858897155193881,54/54,17/18,0.69,vlm_overall_mean
blend_all4_with_vlm_overall_mean_74,0.9414223808388795,0.858897155193881,54/54,17/18,0.74,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_81,0.9414223808388795,0.858897155193881,54/54,17/18,0.81,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_82,0.9414223808388795,0.858897155193881,54/54,17/18,0.82,vlm_best_dims_mean
blend_all4_with_vlm_overall_mean_01,0.9414223808388795,0.8570156718309151,52/54,13/18,0.01,vlm_overall_mean
blend_all4_with_gpt_vlm_completeness_norm_70,0.9409175545734139,0.8594217242348842,54/54,18/18,0.70,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_71,0.9409175545734139,0.8594217242348842,54/54,18/18,0.71,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_72,0.9409175545734139,0.8594217242348842,54/54,18/18,0.72,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_76,0.9409175545734139,0.8594217242348842,54/54,18/18,0.76,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_77,0.9409175545734139,0.8594217242348842,54/54,18/18,0.77,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_70,0.9408181302735144,0.857956413512398,54/54,17/18,0.70,vlm_overall_mean
blend_all4_with_vlm_overall_mean_71,0.9408181302735144,0.857956413512398,54/54,17/18,0.71,vlm_overall_mean
blend_all4_with_vlm_overall_mean_75,0.9408181302735144,0.857956413512398,54/54,17/18,0.75,vlm_overall_mean
blend_all4_with_vlm_overall_mean_76,0.9408181302735144,0.857956413512398,54/54,17/18,0.76,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_83,0.9408181302735144,0.857956413512398,54/54,17/18,0.83,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_87,0.940521001921962,0.8601431526844533,54/54,17/18,0.87,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_87,0.94032058826909,0.8586640587706975,54/54,17/18,0.87,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_88,0.94032058826909,0.8586640587706975,54/54,17/18,0.88,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_89,0.94032058826909,0.8586640587706975,54/54,17/18,0.89,claude_vlm_specificity_norm
blend_all4_with_vlm_overall_mean_72,0.9402138797081491,0.8570156718309151,54/54,17/18,0.72,vlm_overall_mean
blend_all4_with_vlm_overall_mean_73,0.9402138797081491,0.8570156718309151,54/54,17/18,0.73,vlm_overall_mean
blend_all4_with_vlm_overall_mean_77,0.9402138797081491,0.8570156718309151,54/54,17/18,0.77,vlm_overall_mean
blend_all4_with_vlm_overall_mean_80,0.9402138797081491,0.8570156718309151,54/54,17/18,0.80,vlm_overall_mean
blend_all4_with_gpt_vlm_completeness_norm_78,0.939708148976276,0.8575349586492972,54/54,18/18,0.78,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_79,0.939708148976276,0.8575349586492972,54/54,18/18,0.79,gpt_vlm_completeness_norm
